date,target_logvar
2016-03-09,-8.537703553609472
2016-03-10,-8.570893090455524
2016-03-11,-8.779438121115932
2016-03-12,-11.29088135247547
2016-03-13,-8.543006773596264
2016-03-14,-8.603192492349185
2016-03-15,-8.482414234670472
2016-03-16,-8.486905250104128
2016-03-17,-8.408642763565673
2016-03-18,-10.415506207206906
2016-03-19,-10.044820650566558
2016-03-20,-10.257826477983963
2016-03-21,-10.325749639949207
2016-03-22,-9.257514113570208
2016-03-23,-9.074044701523905
2016-03-24,-8.494702320671887
2016-03-25,-8.485353238458964
2016-03-26,-8.458859101120666
2016-03-27,-9.410390904889375
2016-03-28,-9.175857926720349
2016-03-29,-10.909891892422257
2016-03-30,-11.808993243486352
2016-03-31,-11.61889022401105
2016-04-01,-11.172936371736432
2016-04-02,-11.51366166516144
2016-04-03,-10.874526746278386
2016-04-04,-10.886992870211119
2016-04-05,-11.08479806276527
2016-04-06,-10.956187225849456
2016-04-07,-10.571725771358297
2016-04-08,-10.872456532915782
2016-04-09,-11.128809727727713
2016-04-10,-10.198312794692352
2016-04-11,-10.194082483913462
2016-04-12,-9.763829297526163
2016-04-13,-9.87812427743271
2016-04-14,-9.339486189107843
2016-04-15,-9.30881817901317
2016-04-16,-9.066275867950177
2016-04-17,-9.008711308264473
2016-04-18,-9.09512032349036
2016-04-19,-9.027215922386365
2016-04-20,-9.032991657657622
2016-04-21,-9.26053899341751
2016-04-22,-7.304067060636197
2016-04-23,-7.307660266992247
2016-04-24,-7.369695242055533
2016-04-25,-7.353921651843901
2016-04-26,-7.379213325039433
2016-04-27,-8.49565913849261
2016-04-28,-8.420432303215442
2016-04-29,-8.65522411682688
2016-04-30,-8.893726647752532
2016-05-01,-8.200337204096941
2016-05-02,-8.627222290265024
2016-05-03,-8.677236784197696
2016-05-04,-8.954874929814366
2016-05-05,-8.180317522846995
2016-05-06,-9.139632047072263
2016-05-07,-9.037751400353201
2016-05-08,-9.018033874779228
2016-05-09,-9.08536084332915
2016-05-10,-12.508652292684282
2016-05-11,-10.648996303331918
2016-05-12,-10.864565267119204
2016-05-13,-10.87356909438066
2016-05-14,-8.271252394551334
2016-05-15,-8.149934200537746
2016-05-16,-8.113736768368202
2016-05-17,-8.12390137722426
2016-05-18,-7.955929794509248
2016-05-19,-9.713360621377305
2016-05-20,-9.75471145736699
2016-05-21,-9.698154113941719
2016-05-22,-8.214268394741811
2016-05-23,-6.033184336815872
2016-05-24,-5.949009169339734
2016-05-25,-5.978788616887906
2016-05-26,-5.8977957485447945
2016-05-27,-5.882169742497188
2016-05-28,-9.342583089569453
2016-05-29,-7.408731710444903
2016-05-30,-7.375942110641701
2016-05-31,-7.488911447866879
2016-06-01,-7.506947075303095
2016-06-02,-7.203210907886421
2016-06-03,-8.797614789138548
2016-06-04,-8.510673138297399
2016-06-05,-8.50167535223738
2016-06-06,-7.2743872891805985
2016-06-07,-6.045754132069211
2016-06-08,-6.114183727694857
2016-06-09,-5.9389652091561995
2016-06-10,-5.983953202480942
2016-06-11,-5.6852897540431275
2016-06-12,-5.833980837606777
2016-06-13,-5.894798383833792
2016-06-14,-6.096359678565824
2016-06-15,-5.829665990378964
2016-06-16,-6.276167335833732
2016-06-17,-5.777563348518526
2016-06-18,-5.437435959656106
2016-06-19,-5.071373680065049
2016-06-20,-5.061245679500572
2016-06-21,-5.287591046843752
2016-06-22,-6.080242985390942
2016-06-23,-6.1195560964235005
2016-06-24,-6.768254991398906
2016-06-25,-6.273114818039792
2016-06-26,-7.006248768496148
2016-06-27,-7.015517981007878
2016-06-28,-6.152558462999045
2016-06-29,-6.105966715741262
2016-06-30,-6.270961888078335
2016-07-01,-6.261120493241698
2016-07-02,-6.299573054527803
2016-07-03,-6.430347014870538
2016-07-04,-6.650851196585759
2016-07-05,-6.671538641400161
2016-07-06,-6.72716832047402
2016-07-07,-7.342637915973199
2016-07-08,-7.952426006489258
2016-07-09,-8.368688336516877
2016-07-10,-8.382072507784114
2016-07-11,-8.363931799787068
2016-07-12,-8.26122186468029
2016-07-13,-8.479384411436012
2016-07-14,-8.443977448931829
2016-07-15,-8.281857704979982
2016-07-16,-8.300915270214483
2016-07-17,-9.496326463833348
2016-07-18,-8.977548947378846
2016-07-19,-8.710318477582558
2016-07-20,-8.705861748887044
2016-07-21,-8.716733561268764
2016-07-22,-9.591237851672961
2016-07-23,-9.79200964561012
2016-07-24,-10.204906171929645
2016-07-25,-11.364233730650401
2016-07-26,-7.683518479221627
2016-07-27,-7.642474170051358
2016-07-28,-6.426574312698997
2016-07-29,-6.028823788724408
2016-07-30,-5.868261171618649
2016-07-31,-5.917050331354535
2016-08-01,-5.85682716177817
2016-08-02,-8.365064826073182
2016-08-03,-8.694232608880059
2016-08-04,-8.848372993734202
2016-08-05,-9.034140190124859
2016-08-06,-9.978172795904031
2016-08-07,-10.510346482178344
2016-08-08,-10.4965790070456
2016-08-09,-8.823315798935177
2016-08-10,-9.260465133072122
2016-08-11,-8.33083459399702
2016-08-12,-8.32490541338479
2016-08-13,-8.286577335719889
2016-08-14,-9.20811586865294
2016-08-15,-9.294693993137221
2016-08-16,-10.096935747262929
2016-08-17,-10.613830149155685
2016-08-18,-9.972002391815199
2016-08-19,-9.682105353470192
2016-08-20,-10.12839940081736
2016-08-21,-10.023205551258057
2016-08-22,-9.879973145762918
2016-08-23,-9.388105222038261
2016-08-24,-9.386121907861153
2016-08-25,-9.276230954081038
2016-08-26,-9.29850483143766
2016-08-27,-10.391842235611659
2016-08-28,-10.518656811720499
2016-08-29,-8.023979912059916
2016-08-30,-7.987248704764524
2016-08-31,-7.990555544208641
2016-09-01,-8.214906660718242
2016-09-02,-8.228975418068346
2016-09-03,-9.376608226403427
2016-09-04,-9.248252255120326
2016-09-05,-9.40280315583914
2016-09-06,-8.143206088571773
2016-09-07,-8.188819295076069
2016-09-08,-8.776688086637378
2016-09-09,-8.700743015596267
2016-09-10,-8.746550643983374
2016-09-11,-11.328599291306926
2016-09-12,-11.470218980223542
2016-09-13,-10.785820008011093
2016-09-14,-10.852711882910596
2016-09-15,-11.359539772150562
2016-09-16,-9.39654365362762
2016-09-17,-9.394482148188953
2016-09-18,-9.12230130501761
2016-09-19,-9.117522884228363
2016-09-20,-9.117775957219683
2016-09-21,-9.857220658929984
2016-09-22,-9.770156242746332
2016-09-23,-10.087013723288441
2016-09-24,-10.092176297084201
2016-09-25,-10.110355883992925
2016-09-26,-10.68330358014315
2016-09-27,-10.462373905266064
2016-09-28,-10.645843427559852
2016-09-29,-10.403503806289871
2016-09-30,-10.616297612355053
2016-10-01,-11.213686826036092
2016-10-02,-11.22995417685289
